Pos,Dir,Team,P,W,D,L,GF,GA,DIFF,Points,Season
3,1,VFL Rome,2,1,1,0,3,1,2,4,Season 61519
4,-1,VFL Bern,2,1,1,0,2,1,1,4,Season 61519
4,-1,VFL Lisbon,2,1,1,0,2,1,1,4,Season 61519
6,1,VFL Oslo,2,1,0,1,4,3,1,3,Season 61519
7,-1,VFL Copenhagen,2,1,0,1,4,4,0,3,Season 61519
8,-1,VFL Edinburgh,2,1,0,1,3,3,0,3,Season 61519
9,1,VFL London,2,1,0,1,2,2,0,3,Season 61519
9,-1,VFL Stockholm,2,1,0,1,2,2,0,3,Season 61519
11,1,VFL Ankara,2,1,0,1,3,4,-1,3,Season 61519
12,-1,VFL Vienna,2,0,1,1,1,2,-1,1,Season 61519
13,-1,VFL Athens,2,0,1,1,1,3,-2,1,Season 61519
13,-1,VFL Brussels,2,0,1,1,1,3,-2,1,Season 61519
15,1,VFL Amsterdam,2,0,0,2,4,6,-2,0,Season 61519
16,1,VFL Paris,2,0,0,2,1,4,-3,0,Season 61519
1,0,VFL Madrid,3,3,0,0,8,4,4,9,Season 61519
2,0,VFL Berlin,3,2,1,0,6,3,3,7,Season 61519
3,-1,VFL Edinburgh,3,2,0,1,5,3,2,6,Season 61519
4,-1,VFL Copenhagen,3,2,0,1,5,4,1,6,Season 61519
5,-1,VFL London,3,2,0,1,4,3,1,6,Season 61519
6,1,VFL Rome,3,1,2,0,4,2,2,5,Season 61519
7,1,VFL Lisbon,3,1,2,0,3,2,1,5,Season 61519
8,-1,VFL Stockholm,3,1,1,1,3,3,0,4,Season 61519
9,1,VFL Bern,3,1,1,1,2,3,-1,4,Season 61519
10,1,VFL Oslo,3,1,0,2,4,4,0,3,Season 61519
11,0,VFL Ankara,3,1,0,2,3,5,-2,3,Season 61519
12,0,VFL Vienna,3,0,2,1,2,3,-1,2,Season 61519
13,0,VFL Athens,3,0,2,1,2,4,-2,2,Season 61519
13,0,VFL Brussels,3,0,2,1,2,4,-2,2,Season 61519
15,-1,VFL Paris,3,0,1,2,2,5,-3,1,Season 61519
16,1,VFL Amsterdam,3,0,0,3,5,8,-3,0,Season 61519
1,0,VFL Madrid,4,4,0,0,10,4,6,12,Season 61519
2,-1,VFL London,4,3,0,1,7,3,4,9,Season 61519
3,-1,VFL Copenhagen,4,3,0,1,6,4,2,9,Season 61519
4,-1,VFL Lisbon,4,2,2,0,5,2,3,8,Season 61519
4,-1,VFL Rome,4,2,2,0,5,2,3,8,Season 61519
6,-1,VFL Stockholm,4,2,1,1,7,4,3,7,Season 61519
7,1,VFL Berlin,4,2,1,1,6,6,0,7,Season 61519
8,1,VFL Edinburgh,4,2,0,2,6,7,-1,6,Season 61519
9,-1,VFL Brussels,4,1,2,1,6,4,2,5,Season 61519
10,1,VFL Bern,4,1,1,2,2,5,-3,4,Season 61519
11,-1,VFL Amsterdam,4,1,0,3,8,8,0,3,Season 61519
12,1,VFL Oslo,4,1,0,3,4,5,-1,3,Season 61519
13,1,VFL Ankara,4,1,0,3,3,8,-5,3,Season 61519
14,1,VFL Athens,4,0,2,2,2,5,-3,2,Season 61519
15,1,VFL Vienna,4,0,2,2,2,7,-5,2,Season 61519
16,1,VFL Paris,4,0,1,3,2,7,-5,1,Season 61519
1,0,VFL Madrid,5,4,1,0,11,5,6,13,Season 61519
2,0,VFL London,5,4,0,1,10,4,6,12,Season 61519
3,0,VFL Copenhagen,5,4,0,1,9,5,4,12,Season 61519
4,0,VFL Lisbon,5,3,2,0,9,4,5,11,Season 61519
5,1,VFL Rome,5,3,2,0,7,2,5,11,Season 61519
6,-1,VFL Berlin,5,3,1,1,9,6,3,10,Season 61519
7,1,VFL Stockholm,5,2,2,1,8,5,3,8,Season 61519
8,-1,VFL Amsterdam,5,2,0,3,11,8,3,6,Season 61519
9,1,VFL Edinburgh,5,2,0,3,6,8,-2,6,Season 61519
10,1,VFL Brussels,5,1,2,2,8,8,0,5,Season 61519
11,-1,VFL Vienna,5,1,2,2,3,7,-4,5,Season 61519
12,1,VFL Bern,5,1,1,3,3,8,-5,4,Season 61519
13,1,VFL Oslo,5,1,0,4,5,8,-3,3,Season 61519
14,1,VFL Ankara,5,1,0,4,3,11,-8,3,Season 61519
15,1,VFL Athens,5,0,2,3,2,8,-6,2,Season 61519
16,0,VFL Paris,5,0,1,4,2,9,-7,1,Season 61519
1,-1,VFL Copenhagen,6,5,0,1,11,6,5,15,Season 61519
2,-1,VFL Lisbon,6,4,2,0,12,4,8,14,Season 61519
3,1,VFL Madrid,6,4,2,0,12,6,6,14,Season 61519
4,1,VFL London,6,4,1,1,10,4,6,13,Season 61519
5,-1,VFL Berlin,6,4,1,1,11,7,4,13,Season 61519
6,1,VFL Rome,6,3,2,1,7,3,4,11,Season 61519
7,0,VFL Stockholm,6,2,2,2,9,7,2,8,Season 61519
8,-1,VFL Brussels,6,2,2,2,9,8,1,8,Season 61519
9,1,VFL Amsterdam,6,2,1,3,12,9,3,7,Season 61519
10,-1,VFL Vienna,6,1,3,2,4,8,-4,6,Season 61519
11,1,VFL Edinburgh,6,2,0,4,6,11,-5,6,Season 61519
12,0,VFL Bern,6,1,2,3,3,8,-5,5,Season 61519
13,-1,VFL Ankara,6,1,1,4,4,12,-8,4,Season 61519
14,1,VFL Oslo,6,1,0,5,6,10,-4,3,Season 61519
15,0,VFL Athens,6,0,3,3,4,10,-6,3,Season 61519
16,0,VFL Paris,6,0,2,4,4,11,-7,2,Season 61519
1,-1,VFL London,7,5,1,1,14,4,10,16,Season 61519
2,-1,VFL Berlin,7,5,1,1,13,7,6,16,Season 61519
3,1,VFL Copenhagen,7,5,1,1,11,6,5,16,Season 61519
4,1,VFL Lisbon,7,4,3,0,12,4,8,15,Season 61519
5,1,VFL Madrid,7,4,3,0,12,6,6,15,Season 61519
6,0,VFL Rome,7,3,3,1,7,3,4,12,Season 61519
7,-1,VFL Brussels,7,3,2,2,11,8,3,11,Season 61519
8,1,VFL Stockholm,7,2,2,3,9,11,-2,8,Season 61519
9,0,VFL Amsterdam,7,2,1,4,13,11,2,7,Season 61519
10,0,VFL Vienna,7,1,4,2,4,8,-4,7,Season 61519
11,0,VFL Edinburgh,7,2,1,4,6,11,-5,7,Season 61519
12,-1,VFL Oslo,7,2,0,5,8,11,-3,6,Season 61519
13,-1,VFL Athens,7,1,3,3,6,10,-4,6,Season 61519
14,1,VFL Bern,7,1,2,4,3,10,-7,5,Season 61519
15,1,VFL Ankara,7,1,1,5,4,14,-10,4,Season 61519
16,0,VFL Paris,7,0,2,5,4,13,-9,2,Season 61519
1,-1,VFL Lisbon,8,5,3,0,15,4,11,18,Season 61519
2,-1,VFL Madrid,8,5,3,0,14,6,8,18,Season 61519
3,1,VFL London,8,5,2,1,16,6,10,17,Season 61519
4,1,VFL Berlin,8,5,2,1,14,8,6,17,Season 61519
5,1,VFL Copenhagen,8,5,1,2,11,9,2,16,Season 61519
6,-1,VFL Brussels,8,4,2,2,12,8,4,14,Season 61519
7,1,VFL Rome,8,3,3,2,7,5,2,12,Season 61519
8,-1,VFL Oslo,8,3,0,5,11,12,-1,9,Season 61519
9,1,VFL Stockholm,8,2,3,3,10,12,-2,9,Season 61519
10,1,VFL Amsterdam,8,2,2,4,15,13,2,8,Season 61519
11,1,VFL Vienna,8,1,5,2,6,10,-4,8,Season 61519
12,1,VFL Edinburgh,8,2,2,4,9,14,-5,8,Season 61519
13,0,VFL Athens,8,1,3,4,6,11,-5,6,Season 61519
14,0,VFL Bern,8,1,3,4,5,12,-7,6,Season 61519
15,0,VFL Ankara,8,1,1,6,5,17,-12,4,Season 61519
16,0,VFL Paris,8,0,3,5,7,16,-9,3,Season 61519
1,-1,VFL Madrid,9,6,3,0,16,7,9,21,Season 61519
2,-1,VFL Berlin,9,6,2,1,19,8,11,20,Season 61519
3,1,VFL Lisbon,9,5,4,0,16,5,11,19,Season 61519
4,1,VFL London,9,5,3,1,17,7,10,18,Season 61519
5,-1,VFL Brussels,9,5,2,2,13,8,5,17,Season 61519
6,1,VFL Copenhagen,9,5,2,2,14,12,2,17,Season 61519
7,0,VFL Rome,9,3,4,2,10,8,2,13,Season 61519
8,-1,VFL Amsterdam,9,3,2,4,17,14,3,11,Season 61519
9,1,VFL Oslo,9,3,0,6,13,15,-2,9,Season 61519
10,1,VFL Stockholm,9,2,3,4,11,14,-3,9,Season 61519
11,-1,VFL Athens,9,2,3,4,9,13,-4,9,Season 61519
12,0,VFL Edinburgh,9,2,2,5,9,15,-6,8,Season 61519
13,1,VFL Vienna,9,1,5,3,6,15,-9,8,Season 61519
14,-1,VFL Ankara,9,2,1,6,9,17,-8,7,Season 61519
15,1,VFL Bern,9,1,3,5,5,16,-11,6,Season 61519
16,0,VFL Paris,9,0,3,6,8,18,-10,3,Season 61519
1,-1,VFL Lisbon,10,6,4,0,17,5,12,22,Season 61519
2,-1,VFL London,10,6,3,1,20,9,11,21,Season 61519
3,1,VFL Madrid,10,6,3,1,17,9,8,21,Season 61519
4,1,VFL Berlin,10,6,2,2,19,9,10,20,Season 61519
5,0,VFL Brussels,10,6,2,2,15,9,6,20,Season 61519
6,0,VFL Copenhagen,10,5,2,3,14,15,-1,17,Season 61519
7,0,VFL Rome,10,3,4,3,12,11,1,13,Season 61519
8,0,VFL Amsterdam,10,3,3,4,18,15,3,12,Season 61519
9,0,VFL Oslo,10,4,0,6,15,16,-1,12,Season 61519
10,-1,VFL Athens,10,3,3,4,11,14,-3,12,Season 61519
11,-1,VFL Ankara,10,3,1,6,11,17,-6,10,Season 61519
12,1,VFL Stockholm,10,2,3,5,11,16,-5,9,Season 61519
13,0,VFL Vienna,10,1,6,3,7,16,-9,9,Season 61519
14,1,VFL Edinburgh,10,2,2,6,10,17,-7,8,Season 61519
15,-1,VFL Paris,10,1,3,6,11,18,-7,6,Season 61519
16,1,VFL Bern,10,1,3,6,6,18,-12,6,Season 61519
1,0,VFL Lisbon,11,6,4,1,17,6,11,22,Season 61519
2,0,VFL London,11,6,3,2,20,10,10,21,Season 61519
3,0,VFL Madrid,11,6,3,2,17,10,7,21,Season 61519
4,-1,VFL Brussels,11,6,3,2,15,9,6,21,Season 61519
5,1,VFL Berlin,11,6,2,3,19,11,8,20,Season 61519
6,0,VFL Copenhagen,11,5,3,3,14,15,-1,18,Season 61519
7,0,VFL Rome,11,4,4,3,14,11,3,16,Season 61519
8,0,VFL Amsterdam,11,4,3,4,19,15,4,15,Season 61519
9,0,VFL Oslo,11,5,0,6,19,17,2,15,Season 61519
10,0,VFL Athens,11,3,4,4,11,14,-3,13,Season 61519
11,-1,VFL Vienna,11,2,6,3,8,16,-8,12,Season 61519
12,-1,VFL Edinburgh,11,3,2,6,11,17,-6,11,Season 61519
13,1,VFL Ankara,11,3,1,7,11,18,-7,10,Season 61519
14,-1,VFL Paris,11,2,3,6,12,18,-6,9,Season 61519
15,1,VFL Stockholm,11,2,3,6,12,20,-8,9,Season 61519
16,0,VFL Bern,11,1,4,6,6,18,-12,7,Season 61519
1,0,VFL Lisbon,12,7,4,1,19,6,13,25,Season 61519
2,0,VFL London,12,7,3,2,22,10,12,24,Season 61519
3,-1,VFL Berlin,12,7,2,3,20,11,9,23,Season 61519
4,1,VFL Madrid,12,6,4,2,18,11,7,22,Season 61519
5,1,VFL Brussels,12,6,3,3,15,11,4,21,Season 61519
6,-1,VFL Rome,12,5,4,3,17,12,5,19,Season 61519
7,1,VFL Copenhagen,12,5,3,4,14,17,-3,18,Season 61519
8,0,VFL Amsterdam,12,4,3,5,20,18,2,15,Season 61519
9,0,VFL Oslo,12,5,0,7,20,19,1,15,Season 61519
10,-1,VFL Vienna,12,3,6,3,10,17,-7,15,Season 61519
11,1,VFL Athens,12,3,5,4,12,15,-3,14,Season 61519
12,0,VFL Edinburgh,12,4,2,6,13,17,-4,14,Season 61519
13,-1,VFL Stockholm,12,3,3,6,15,20,-5,12,Season 61519
14,1,VFL Ankara,12,3,1,8,11,20,-9,10,Season 61519
15,1,VFL Paris,12,2,3,7,12,19,-7,9,Season 61519
16,0,VFL Bern,12,1,4,7,6,21,-15,7,Season 61519
1,-1,VFL London,13,8,3,2,24,10,14,27,Season 61519
2,1,VFL Lisbon,13,7,4,2,19,7,12,25,Season 61519
3,0,VFL Berlin,13,7,3,3,20,11,9,24,Season 61519
4,0,VFL Madrid,13,6,4,3,19,14,5,22,Season 61519
5,0,VFL Brussels,13,6,4,3,15,11,4,22,Season 61519
6,-1,VFL Copenhagen,13,6,3,4,17,18,-1,21,Season 61519
7,1,VFL Rome,13,5,4,4,17,14,3,19,Season 61519
8,0,VFL Amsterdam,13,5,3,5,23,19,4,18,Season 61519
9,0,VFL Oslo,13,6,0,7,21,19,2,18,Season 61519
10,-1,VFL Stockholm,13,4,3,6,16,20,-4,15,Season 61519
11,1,VFL Vienna,13,3,6,4,10,18,-8,15,Season 61519
12,1,VFL Athens,13,3,5,5,12,16,-4,14,Season 61519
13,1,VFL Edinburgh,13,4,2,7,13,19,-6,14,Season 61519
14,0,VFL Ankara,13,4,1,8,13,20,-7,13,Season 61519
15,-1,VFL Bern,13,2,4,7,7,21,-14,10,Season 61519
16,1,VFL Paris,13,2,3,8,13,22,-9,9,Season 61519
1,0,VFL London,14,9,3,2,26,11,15,30,Season 61519
2,0,VFL Lisbon,14,8,4,2,20,7,13,28,Season 61519
3,0,VFL Berlin,14,8,3,3,23,12,11,27,Season 61519
4,0,VFL Madrid,14,6,4,4,20,16,4,22,Season 61519
5,0,VFL Brussels,14,6,4,4,15,13,2,22,Season 61519
6,0,VFL Copenhagen,14,6,4,4,19,20,-1,22,Season 61519
7,-1,VFL Amsterdam,14,6,3,5,25,19,6,21,Season 61519
8,1,VFL Rome,14,5,5,4,19,16,3,20,Season 61519
9,0,VFL Oslo,14,6,1,7,23,21,2,19,Season 61519
10,0,VFL Stockholm,14,4,4,6,18,22,-4,16,Season 61519
11,-1,VFL Ankara,14,5,1,8,15,21,-6,16,Season 61519
12,1,VFL Vienna,14,3,7,4,12,20,-8,16,Season 61519
13,1,VFL Athens,14,3,6,5,14,18,-4,15,Season 61519
14,1,VFL Edinburgh,14,4,2,8,14,22,-8,14,Season 61519
15,0,VFL Bern,14,2,4,8,7,22,-15,10,Season 61519
16,0,VFL Paris,14,2,3,9,14,24,-10,9,Season 61519
1,0,VFL London,15,10,3,2,28,11,17,33,Season 61519
2,0,VFL Lisbon,15,8,5,2,22,9,13,29,Season 61519
3,0,VFL Berlin,15,8,3,4,24,15,9,27,Season 61519
4,0,VFL Madrid,15,7,4,4,23,17,6,25,Season 61519
5,-1,VFL Amsterdam,15,7,3,5,29,19,10,24,Season 61519
6,1,VFL Brussels,15,6,4,5,15,14,1,22,Season 61519
7,1,VFL Copenhagen,15,6,4,5,19,22,-3,22,Season 61519
8,0,VFL Rome,15,5,5,5,20,18,2,20,Season 61519
9,0,VFL Oslo,15,6,1,8,24,23,1,19,Season 61519
10,-1,VFL Ankara,15,6,1,8,16,21,-5,19,Season 61519
11,-1,VFL Athens,15,4,6,5,16,18,-2,18,Season 61519
12,1,VFL Stockholm,15,4,5,6,20,24,-4,17,Season 61519
13,1,VFL Vienna,15,3,7,5,12,22,-10,16,Season 61519
14,0,VFL Edinburgh,15,4,2,9,14,26,-12,14,Season 61519
15,0,VFL Bern,15,3,4,8,9,23,-14,13,Season 61519
16,0,VFL Paris,15,3,3,9,16,25,-9,12,Season 61519
1,0,VFL London,16,11,3,2,32,12,20,36,Season 61519
2,0,VFL Lisbon,16,9,5,2,24,10,14,32,Season 61519
3,0,VFL Berlin,16,9,3,4,25,15,10,30,Season 61519
4,0,VFL Madrid,16,7,5,4,23,17,6,26,Season 61519
5,0,VFL Amsterdam,16,7,4,5,29,19,10,25,Season 61519
6,-1,VFL Rome,16,6,5,5,22,18,4,23,Season 61519
7,-1,VFL Oslo,16,7,1,8,27,23,4,22,Season 61519
8,1,VFL Brussels,16,6,4,6,15,17,-2,22,Season 61519
9,1,VFL Copenhagen,16,6,4,6,19,23,-4,22,Season 61519
10,0,VFL Ankara,16,6,1,9,18,24,-6,19,Season 61519
11,0,VFL Athens,16,4,6,6,17,22,-5,18,Season 61519
12,0,VFL Stockholm,16,4,5,7,20,26,-6,17,Season 61519
13,-1,VFL Edinburgh,16,5,2,9,17,28,-11,17,Season 61519
14,1,VFL Vienna,16,3,7,6,13,24,-11,16,Season 61519
15,0,VFL Bern,16,4,4,8,11,23,-12,16,Season 61519
16,0,VFL Paris,16,3,3,10,16,27,-11,12,Season 61519
1,0,VFL London,17,11,4,2,33,13,20,37,Season 61519
2,0,VFL Lisbon,17,9,6,2,25,11,14,33,Season 61519
3,0,VFL Berlin,17,9,4,4,26,16,10,31,Season 61519
4,0,VFL Madrid,17,8,5,4,24,17,7,29,Season 61519
5,0,VFL Amsterdam,17,8,4,5,31,20,11,28,Season 61519
6,0,VFL Rome,17,7,5,5,23,18,5,26,Season 61519
7,-1,VFL Brussels,17,7,4,6,16,17,-1,25,Season 61519
8,1,VFL Oslo,17,7,2,8,28,24,4,23,Season 61519
9,0,VFL Copenhagen,17,6,4,7,20,25,-5,22,Season 61519
10,-1,VFL Athens,17,4,7,6,18,23,-5,19,Season 61519
11,1,VFL Ankara,17,6,1,10,18,25,-7,19,Season 61519
12,0,VFL Stockholm,17,4,6,7,21,27,-6,18,Season 61519
13,0,VFL Edinburgh,17,5,3,9,18,29,-11,18,Season 61519
14,0,VFL Vienna,17,3,7,7,13,25,-12,16,Season 61519
15,0,VFL Bern,17,4,4,9,11,24,-13,16,Season 61519
16,0,VFL Paris,17,3,4,10,17,28,-11,13,Season 61519
1,0,VFL London,18,11,4,3,34,15,19,37,Season 61519
2,0,VFL Lisbon,18,9,7,2,27,13,14,34,Season 61519
3,0,VFL Berlin,18,10,4,4,29,18,11,34,Season 61519
4,-1,VFL Amsterdam,18,9,4,5,33,21,12,31,Season 61519
5,1,VFL Madrid,18,8,6,4,26,19,7,30,Season 61519
6,0,VFL Rome,18,7,6,5,25,20,5,27,Season 61519
7,0,VFL Brussels,18,7,4,7,17,19,-2,25,Season 61519
8,0,VFL Oslo,18,7,3,8,30,26,4,24,Season 61519
9,-1,VFL Ankara,18,7,1,10,20,25,-5,22,Season 61519
10,1,VFL Copenhagen,18,6,4,8,20,27,-7,22,Season 61519
11,-1,VFL Stockholm,18,5,6,7,23,28,-5,21,Season 61519
12,1,VFL Athens,18,4,7,7,20,26,-6,19,Season 61519
13,-1,VFL Bern,18,5,4,9,13,24,-11,19,Season 61519
14,1,VFL Edinburgh,18,5,3,10,18,31,-13,18,Season 61519
15,1,VFL Vienna,18,3,8,7,14,26,-12,17,Season 61519
16,0,VFL Paris,18,3,5,10,18,29,-11,14,Season 61519
1,0,VFL London,19,12,4,3,36,15,21,40,Season 61519
2,0,VFL Lisbon,19,10,7,2,29,14,15,37,Season 61519
3,0,VFL Berlin,19,10,5,4,31,20,11,35,Season 61519
4,-1,VFL Madrid,19,9,6,4,28,19,9,33,Season 61519
5,1,VFL Amsterdam,19,9,5,5,35,23,12,32,Season 61519
6,0,VFL Rome,19,7,7,5,25,20,5,28,Season 61519
7,0,VFL Brussels,19,8,4,7,19,20,-1,28,Season 61519
8,0,VFL Oslo,19,8,3,8,31,26,5,27,Season 61519
9,-1,VFL Stockholm,19,5,7,7,26,31,-5,22,Season 61519
10,1,VFL Ankara,19,7,1,11,20,27,-7,22,Season 61519
11,1,VFL Copenhagen,19,6,4,9,20,28,-8,22,Season 61519
12,0,VFL Athens,19,4,8,7,20,26,-6,20,Season 61519
13,-1,VFL Edinburgh,19,5,4,10,21,34,-13,19,Season 61519
14,1,VFL Bern,19,5,4,10,13,26,-13,19,Season 61519
15,0,VFL Vienna,19,3,8,8,15,28,-13,17,Season 61519
16,0,VFL Paris,19,3,5,11,19,31,-12,14,Season 61519
1,0,VFL London,20,12,4,4,37,17,20,40,Season 61519
2,0,VFL Lisbon,20,10,8,2,30,15,15,38,Season 61519
3,-1,VFL Madrid,20,10,6,4,29,19,10,36,Season 61519
4,1,VFL Berlin,20,10,5,5,32,22,10,35,Season 61519
5,0,VFL Amsterdam,20,9,5,6,35,25,10,32,Season 61519
6,0,VFL Rome,20,8,7,5,27,20,7,31,Season 61519
7,-1,VFL Oslo,20,9,3,8,33,27,6,30,Season 61519
8,1,VFL Brussels,20,8,5,7,20,21,-1,29,Season 61519
9,-1,VFL Ankara,20,8,1,11,22,28,-6,25,Season 61519
10,-1,VFL Athens,20,5,8,7,22,26,-4,23,Season 61519
11,0,VFL Copenhagen,20,6,5,9,20,28,-8,23,Season 61519
12,1,VFL Stockholm,20,5,7,8,26,32,-6,22,Season 61519
13,0,VFL Edinburgh,20,5,5,10,22,35,-13,20,Season 61519
14,0,VFL Bern,20,5,5,10,13,26,-13,20,Season 61519
15,0,VFL Vienna,20,3,9,8,16,29,-13,18,Season 61519
16,0,VFL Paris,20,3,5,12,19,33,-14,14,Season 61519
1,0,VFL London,21,13,4,4,40,17,23,43,Season 61519
2,-1,VFL Madrid,21,11,6,4,31,20,11,39,Season 61519
3,1,VFL Lisbon,21,10,8,3,30,17,13,38,Season 61519
4,0,VFL Berlin,21,10,6,5,33,23,10,36,Season 61519
5,0,VFL Amsterdam,21,9,6,6,36,26,10,33,Season 61519
6,0,VFL Rome,21,8,8,5,29,22,7,32,Season 61519
7,0,VFL Oslo,21,9,4,8,34,28,6,31,Season 61519
8,0,VFL Brussels,21,8,6,7,22,23,-1,30,Season 61519
9,0,VFL Ankara,21,8,2,11,23,29,-6,26,Season 61519
10,-1,VFL Stockholm,21,6,7,8,27,32,-5,25,Season 61519
11,1,VFL Athens,21,5,8,8,22,27,-5,23,Season 61519
12,1,VFL Copenhagen,21,6,5,10,20,29,-9,23,Season 61519
13,0,VFL Edinburgh,21,6,5,10,24,35,-11,23,Season 61519
14,0,VFL Bern,21,5,5,11,13,29,-16,20,Season 61519
15,0,VFL Vienna,21,3,9,9,17,31,-14,18,Season 61519
16,0,VFL Paris,21,4,5,12,20,33,-13,17,Season 61519
1,0,VFL London,22,13,5,4,41,18,23,44,Season 61519
2,0,VFL Madrid,22,12,6,4,33,21,12,42,Season 61519
3,0,VFL Lisbon,22,10,8,4,31,19,12,38,Season 61519
4,0,VFL Berlin,22,10,7,5,34,24,10,37,Season 61519
5,-1,VFL Oslo,22,10,4,8,36,29,7,34,Season 61519
6,1,VFL Amsterdam,22,9,6,7,37,28,9,33,Season 61519
7,1,VFL Rome,22,8,9,5,31,24,7,33,Season 61519
8,0,VFL Brussels,22,9,6,7,23,23,0,33,Season 61519
9,-1,VFL Athens,22,6,8,8,26,29,-3,26,Season 61519
10,0,VFL Stockholm,22,6,8,8,28,33,-5,26,Season 61519
11,1,VFL Ankara,22,8,2,12,25,33,-8,26,Season 61519
12,0,VFL Copenhagen,22,6,6,10,21,30,-9,24,Season 61519
13,0,VFL Edinburgh,22,6,6,10,26,37,-11,24,Season 61519
14,0,VFL Bern,22,5,6,11,14,30,-16,21,Season 61519
15,0,VFL Vienna,22,3,10,9,18,32,-14,19,Season 61519
16,0,VFL Paris,22,4,5,13,20,34,-14,17,Season 61519
1,0,VFL London,23,13,5,5,41,19,22,44,Season 61519
2,0,VFL Madrid,23,12,6,5,34,23,11,42,Season 61519
3,0,VFL Lisbon,23,11,8,4,33,19,14,41,Season 61519
4,0,VFL Berlin,23,11,7,5,36,25,11,40,Season 61519
5,0,VFL Oslo,23,11,4,8,39,30,9,37,Season 61519
6,0,VFL Amsterdam,23,10,6,7,40,28,12,36,Season 61519
7,0,VFL Rome,23,9,9,5,33,25,8,36,Season 61519
8,0,VFL Brussels,23,9,6,8,23,25,-2,33,Season 61519
9,0,VFL Athens,23,7,8,8,28,29,-1,29,Season 61519
10,-1,VFL Edinburgh,23,7,6,10,27,37,-10,27,Season 61519
11,1,VFL Stockholm,23,6,8,9,29,35,-6,26,Season 61519
12,1,VFL Ankara,23,8,2,13,26,36,-10,26,Season 61519
13,1,VFL Copenhagen,23,6,6,11,21,32,-11,24,Season 61519
14,-1,VFL Vienna,23,4,10,9,19,32,-13,22,Season 61519
15,1,VFL Bern,23,5,6,12,14,33,-19,21,Season 61519
16,0,VFL Paris,23,4,5,14,20,35,-15,17,Season 61519
1,0,VFL London,24,14,5,5,43,19,24,47,Season 61519
2,-1,VFL Berlin,24,12,7,5,37,25,12,43,Season 61519
3,1,VFL Madrid,24,12,6,6,35,25,10,42,Season 61519
4,1,VFL Lisbon,24,11,8,5,33,21,12,41,Season 61519
5,0,VFL Oslo,24,12,4,8,41,31,10,40,Season 61519
6,0,VFL Amsterdam,24,11,6,7,42,28,14,39,Season 61519
7,0,VFL Rome,24,10,9,5,34,25,9,39,Season 61519
8,0,VFL Brussels,24,9,6,9,23,27,-4,33,Season 61519
9,-1,VFL Edinburgh,24,8,6,10,29,37,-8,30,Season 61519
10,1,VFL Athens,24,7,8,9,29,31,-2,29,Season 61519
11,-1,VFL Ankara,24,9,2,13,27,36,-9,29,Season 61519
12,1,VFL Stockholm,24,6,8,10,29,37,-8,26,Season 61519
13,0,VFL Copenhagen,24,6,6,12,21,33,-12,24,Season 61519
14,0,VFL Vienna,24,4,10,10,19,33,-14,22,Season 61519
15,0,VFL Bern,24,5,6,13,14,34,-20,21,Season 61519
16,0,VFL Paris,24,5,5,14,22,36,-14,20,Season 61519
1,0,VFL London,25,15,5,5,46,20,26,50,Season 61519
2,-1,VFL Madrid,25,13,6,6,39,27,12,45,Season 61519
3,-1,VFL Lisbon,25,12,8,5,35,21,14,44,Season 61519
4,1,VFL Berlin,25,12,7,6,37,27,10,43,Season 61519
5,-1,VFL Amsterdam,25,12,6,7,44,28,16,42,Season 61519
6,1,VFL Oslo,25,12,5,8,42,32,10,41,Season 61519
7,0,VFL Rome,25,10,9,6,35,28,7,39,Season 61519
8,0,VFL Brussels,25,9,6,10,25,31,-6,33,Season 61519
9,-1,VFL Ankara,25,10,2,13,31,38,-7,32,Season 61519
10,1,VFL Edinburgh,25,8,7,10,29,37,-8,31,Season 61519
11,1,VFL Athens,25,7,9,9,29,31,-2,30,Season 61519
12,0,VFL Stockholm,25,6,8,11,31,41,-10,26,Season 61519
13,0,VFL Copenhagen,25,6,7,12,23,35,-12,25,Season 61519
14,0,VFL Vienna,25,4,10,11,19,35,-16,22,Season 61519
15,0,VFL Bern,25,5,7,13,15,35,-20,22,Season 61519
16,0,VFL Paris,25,5,6,14,24,38,-14,21,Season 61519
1,0,VFL London,26,16,5,5,48,21,27,53,Season 61519
2,0,VFL Madrid,26,14,6,6,41,27,14,48,Season 61519
3,-1,VFL Berlin,26,13,7,6,38,27,11,46,Season 61519
4,1,VFL Lisbon,26,12,9,5,36,22,14,45,Season 61519
5,-1,VFL Oslo,26,13,5,8,44,32,12,44,Season 61519
6,1,VFL Amsterdam,26,12,7,7,45,29,16,43,Season 61519
7,0,VFL Rome,26,10,9,7,35,29,6,39,Season 61519
8,0,VFL Brussels,26,10,6,10,26,31,-5,36,Season 61519
9,0,VFL Ankara,26,10,2,14,31,40,-9,32,Season 61519
10,-1,VFL Athens,26,7,10,9,32,34,-2,31,Season 61519
11,1,VFL Edinburgh,26,8,7,11,29,39,-10,31,Season 61519
12,0,VFL Stockholm,26,6,8,12,31,43,-12,26,Season 61519
13,0,VFL Copenhagen,26,6,7,13,23,36,-13,25,Season 61519
14,0,VFL Vienna,26,5,10,11,21,35,-14,25,Season 61519
15,0,VFL Bern,26,5,8,13,18,38,-20,23,Season 61519
16,0,VFL Paris,26,5,6,15,25,40,-15,21,Season 61519
1,0,VFL London,27,17,5,5,50,21,29,56,Season 61519
2,0,VFL Madrid,27,15,6,6,42,27,15,51,Season 61519
3,0,VFL Berlin,27,14,7,6,40,27,13,49,Season 61519
